ZIP code,County,Year,Age Group,Number of Visits,County Fips code,Age-adjusted rate
"90201
(33.96958259900049, -118.17504801999968)",LOS ANGELES,2012,Adults (18+),209,6037,32.3
"90210
(34.08553341500044, -118.4042687859997)",LOS ANGELES,2012,AllAges,33,6037,14.6
"90210
(34.08553341500044, -118.4042687859997)",LOS ANGELES,2012,Children (0-17),,6037,
"90210
(34.08553341500044, -118.4042687859997)",LOS ANGELES,2012,Adults (18+),26,6037,13.2
"90211
(34.065663706000464, -118.38146619699972)",LOS ANGELES,2012,AllAges,22,6037,29.9
"90211
(34.065663706000464, -118.38146619699972)",LOS ANGELES,2012,Children (0-17),,6037,
"90211
(34.065663706000464, -118.38146619699972)",LOS ANGELES,2012,Adults (18+),12,6037,18.8
"90212
(34.063843148000444, -118.40025834499971)",LOS ANGELES,2012,AllAges,17,6037,17.9
"90212
(34.063843148000444, -118.40025834499971)",LOS ANGELES,2012,Children (0-17),,6037,
"90212
(34.063843148000444, -118.40025834499971)",LOS ANGELES,2012,Adults (18+),,6037,
"90220
(33.88573268300047, -118.23452680099967)",LOS ANGELES,2012,AllAges,466,6037,90
"90220
(33.88573268300047, -118.23452680099967)",LOS ANGELES,2012,Children (0-17),208,6037,135.4
"90220
(33.88573268300047, -118.23452680099967)",LOS ANGELES,2012,Adults (18+),258,6037,74.2
"90221
(33.89560019000049, -118.2056368589997)",LOS ANGELES,2012,AllAges,429,6037,75.8
"90221
(33.89560019000049, -118.2056368589997)",LOS ANGELES,2012,Children (0-17),210,6037,114.1
"90221
(33.89560019000049, -118.2056368589997)",LOS ANGELES,2012,Adults (18+),219,6037,62.4
"90222
(33.91203300100045, -118.23502647699968)",LOS ANGELES,2012,AllAges,295,6037,86.4
"90222
(33.91203300100045, -118.23502647699968)",LOS ANGELES,2012,Children (0-17),143,6037,131.2
"90222
(33.91203300100045, -118.23502647699968)",LOS ANGELES,2012,Adults (18+),152,6037,70.8
